Ваш курс,Ваш факультет,Ваша форма обучения,Ваш пол,"Поступили ли вы туда, куда сами хотели?",Имеется ли у вас интерес к профессии?,Работаете ли вы по профессии?,Почему вы учитесь в БГУИРе?,Посещаете ли вы лекции?,Ощущаете ли вы нехватку возможности выбирать интересующие вас предметы для изучения? ,Сдаёте ли вы чужие работы?,"Если сдаёте чужие работы, то почему?",Желаете ли вы продолжить обучение с целью получения знаний после выпуска?,Есть ли у вас желание уехать из РБ?,"С вашей точки зрения, уровень загруженности и объём информации по учёбе","Ситуация, когда предмет интересный, а подача плохая, возникает","Ситуация, когда предмет кажется бесполезным, возникает","Эмоции, которые вы получаете от всех частей учебного процесса, скорее","Прямо сейчас у вас есть выбор: получить диплом и выпуститься, или же остаться и доучиться. В обоих случаях армия (для мужчин) и распределение по вашему желанию, место для жилья в Минске вам обеспечено. Ваш диплом и диплом человека, который останется и дослушает все курсы, не будет отличаться. Ваши действия?",И напоследок: опишите БГУИР парой слов или одним предложением,Хотите ещё что-нибудь добавить?
1,ИЭФ,Платная,Мужской,Нет,Да,Нет,"Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,Сдаю только свои работы,,"Да, в БГУИР",Есть желание уехать,Слишком большой,Очень часто или постоянно,Очень часто или постоянно,Крайне негативные,Получить диплом и выпуститься,Единственный вариант в стране получать возможности.,"Универ считается лучшим потому что он единственный специализированный на программировании.Учеба содержит много ненужных предметов,тем самым уменьшает время работы с программированием.Лучшая на это время возможность для старта в области программирования.Хороших и интересных специальностей по пальцам пересчитать.Не заслуженная стоимость оплаты обучения.Большинство преподавателей в возрасте,соответственно новой школы не видать.Начитка лекций по программировании абсолютно бесполезна,лучше добавить больше практическиз занятий.В плане двойных специальностей как исит в логистике,это конечно хорошо,но в универе сдирают логистику и программирование одинаково,когда человек идет в универ зарекомендованным как для серьезных программистов он хочет больше упора на прогу,а в итоге получается что предметы касающиеся логистики на уровне или даже серьезней чем по проге,что мешает заинтересрванному лицу уделять внимание меньше проге.Половина факультета вместо программирования учит математику днями чтобы из не отчислили в то время как программирование отстает от всех.Проще выучить математику и купить лабы и курсач и получить диплом.Такие специалисты нужны стране?Вообщем первый курс оставляет желать лучшего.Субъективно мое мнение."
1,ФКП,Платная,Мужской,"Университет - да, специальность - нет","Не было до поступления, но появился",Нет,"Нужен диплом, Отсрочка от армии, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно","Да, в БГУИР",Есть желание уехать,Нормальный,Часто,Часто,Позитивные,Получить диплом и выпуститься,Я первач,
2,ФИК,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, со 2 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии, Общественная жизнь университета","Да, но только то, что интересно",Да,"Да, практически всегда",Отсутствие интереса к предмету,"Да, в другом месте",Есть желание уехать,Нормальный,Часто,Часто,Нейтральные,Получить диплом и выпуститься,"Много предметов с красивым названием, мало преподавателей, которые могут дать материал хотя бы на достаточном уровне","Лучший вуз РБ, но явно не то, чего от него ожидают поступающие"
1,ФКСиС,Платная,Мужской,"Университет - да, специальность - нет",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Нет,Сдаю только свои работы,,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Очень редко или никогда,Очень редко или никогда,Позитивные,Доучиться,Одна из возможностей получения крепкой база для IT.,Хочу тругую специальность*)
2,ИЭФ,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии, Общественная жизнь университета","Да, но только то, что интересно",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,Есть желание уехать,Нормальный,Часто,Иногда,Позитивные,Доучиться,Атмосфера лёгкой сплочённости,
1,ИЭФ,Платная,Женский,"Да, и университет, и специальность","Был до поступления, но пропал",Нет,Нужен диплом,"Да, но только то, что интересно",Да,"Да, практически всегда",Отсутствие интереса к предмету,Нет,Есть желание уехать,Слишком большой,Часто,Часто,Негативные,Получить диплом и выпуститься,место для получения диплома ,
3,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - нет",Да,"Да, со 2 курса",Отсрочка от армии,Практически не посещаю,Да,"Да, часто",Нехватка времени,Нет,"Возможно, когда-нибудь уеду",Нормальный,Очень часто или постоянно,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,Й,
2,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - нет",Затрудняюсь ответить,Нет,"Нужен диплом, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,Не собираюсь уезжать,Слишком большой,Часто,Часто,Нейтральные,Получить диплом и выпуститься,Смешанные чувства от учёбы здесь,
2,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - нет",Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом","Да, стараюсь посещать по возможности все",Нет,"Да, но редко",Нехватка времени,Затрудняюсь ответить,Есть желание уехать,Нормальный,Иногда,Иногда,Позитивные,Получить диплом и выпуститься,Рандом,
3,ФКСиС,Платная,Женский,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Общественная жизнь университета",Практически не посещаю,Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно","Да, в другом месте",Есть желание уехать,Нормальный,Часто,Иногда,Нейтральные,Получить диплом и выпуститься,Конкурсы интересные,
3,ФКСиС,Бюджетная,Мужской,Затрудняюсь ответить,"Не было до поступления, но появился","Да, с 3 курса",Друзья/знакомые/мнение родителей,Практически не посещаю,Да,"Да, часто",Отсутствие интереса к предмету,Нет,Есть желание уехать,Нормальный,Иногда,Иногда,Нейтральные,Получить диплом и выпуститься,Дорогие ведомостички по лабам. Плохо структурированная работа деканата,
1,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - было без разницы",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,Затрудняюсь ответить,Не собираюсь уезжать,Нормальный,Иногда,Часто,Позитивные,Получить диплом и выпуститься,Лучший вуз,
1,ФИТУ,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Нужен диплом, Отсрочка от армии","Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,"Да, в другом месте",Есть желание уехать,Слишком большой,Очень часто или постоянно,Часто,Негативные,Доучиться,"Идея хороша, а реализаторы не всегда",
3,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Нет,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии",Практически не посещаю,Да,"Да, часто","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,Затрудняюсь ответить,Нормальный,Часто,Иногда,Нейтральные,Получить диплом и выпуститься,универ как универ,
1,ФКСиС,Бюджетная,Женский,"Да, и университет, и специальность",Да,Нет,"Нужен диплом, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Нет,Сдаю только свои работы,,Затрудняюсь ответить,Есть желание уехать,Нормальный,Часто,Иногда,Нейтральные,Доучиться,Одногруппники классные,
1,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,Затрудняюсь ответить,Затрудняюсь ответить,Нормальный,Редко,Иногда,Позитивные,Доучиться,ТОП ВУЗ!!!,
1,ФРЭ,Бюджетная,Мужской,Нет,"Не было до поступления, но появился",Нет,Друзья/знакомые/мнение родителей,"Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,Есть желание уехать,Нормальный,Часто,Часто,Негативные,Получить диплом и выпуститься,Слишком переоценён.,
2,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Отсрочка от армии,"Да, но только то, что интересно",Да,Сдаю только свои работы,,Нет,"Возможно, когда-нибудь уеду",Нормальный,Часто,Часто,Нейтральные,Доучиться,Не лучшее место с кучей бесполезных или плохо преподаваемых предметов,
2,ФИК,Бюджетная,Женский,Нет,Нет,Нет,Нужен диплом,"Да, стараюсь посещать по возможности все",Да,"Да, но редко",Отсутствие интереса к предмету,Нет,"Возможно, когда-нибудь уеду",Нормальный,Очень часто или постоянно,Иногда,Нейтральные,Получить диплом и выпуститься,-,
2,ФКСиС,Платная,Мужской,Нет,"Был до поступления, но пропал",Нет,Нужен диплом,"Да, стараюсь посещать по возможности все",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Нет,Не собираюсь уезжать,Нормальный,Иногда,Часто,Негативные,Получить диплом и выпуститься,Забрал документы и не жалею,
3,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Редко,Редко,Нейтральные,Доучиться,"университет, в котором надо оптимизировать процесс обучения","в некоторых дисциплинах (3-х) есть полностью дублирующиеся разделы (без специфических аспектов, сторон рассмотрения). Считаю, что это необходимо изменить."
3,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом","Да, стараюсь посещать по возможности все",Да,"Да, но редко","Нехватка времени, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Часто,Редко,Нейтральные,Доучиться,return experience;,
1,ФКСиС,Платная,Мужской,"Университет - да, специальность - нет","Был до поступления, но пропал",Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, но только то, что интересно",Да,"Да, но крайне редко",Не хватает знаний выполнить самостоятельно,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Слишком большой,Иногда,Часто,Негативные,Получить диплом и выпуститься,Хочу спать,
3,ФИТУ,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, со 2 курса","Нужен диплом, Отсрочка от армии",Практически не посещаю,Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте",Есть желание уехать,Нормальный,Очень часто или постоянно,Иногда,Крайне негативные,Получить диплом и выпуститься,Устаревшая система образования,
2,ФИТУ,Бюджетная,Женский,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом","Да, но только то, что интересно",Да,Сдаю только свои работы,,Нет,Не собираюсь уезжать,Нормальный,Иногда,Часто,Позитивные,Доучиться,Хороший университет,
3,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, со 2 курса",Нужен диплом,Практически не посещаю,Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету",Нет,"Возможно, когда-нибудь уеду",Слишком большой,Часто,Часто,Нейтральные,Получить диплом и выпуститься,Хорошая база знаний,
3,ФИТУ,Бюджетная,Женский,Затрудняюсь ответить,Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей",Практически не посещаю,Нет,"Да, практически всегда",Отсутствие интереса к предмету,Затрудняюсь ответить,Есть желание уехать,Нормальный,Иногда,Часто,Нейтральные,Доучиться,Топ ВУЗ,
1,ИЭФ,Платная,Женский,"Да, и университет, и специальность","Не было до поступления, но появился",Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом","Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко","Нехватка времени, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Слишком большой,Часто,Часто,Нейтральные,Получить диплом и выпуститься,Тяжело в учении - легко в бою ,
3,ФИТУ,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса","Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей",Практически не посещаю,Да,"Да, часто",Отсутствие интереса к предмету,"Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Часто,Часто,Негативные,Получить диплом и выпуститься,Не эффективная трата времени и средств.,нет
2,ФКСиС,Бюджетная,Женский,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, но крайне редко",Отсутствие интереса к предмету,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Иногда,Иногда,Позитивные,Доучиться,-,
1,ФКП,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко",Не хватает знаний выполнить самостоятельно,Нет,"Возможно, когда-нибудь уеду",Нормальный,Часто,Часто,Позитивные,Получить диплом и выпуститься,...,
2,ИЭФ,Платная,Мужской,"Университет - да, специальность - нет","Был до поступления, но пропал",Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, но крайне редко",Отсутствие интереса к предмету,"Да, в другом месте",Есть желание уехать,Нормальный,Часто,Часто,Нейтральные,Получить диплом и выпуститься,"Основы основ для самостоятельного продолжения обучения, не самый плохой ВУЗ по преподавателям, почти бесполезная магистратура.","В 3 с конца пункте на обучение в магистратуре я бы остался, если бы были хорошие отзывы о преподавателях, поскольку очевидно, что при наличии такой более привлекательной альтернативы обучению в Беларуси  как обучение за рубежом (в странах Европы, Америки) обучение в Беларуси имеет мало смысла. И да, паспортичку принято размещать в конце, а так анкета замечательная)"
Магистрант,ФКП,Бюджетная,Мужской,"Университет - да, специальность - нет","Был до поступления, но пропал",Нет,Нужен диплом,"Да, но только то, что интересно",Да,"Да, но редко","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,Есть желание уехать,Нормальный,Иногда,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,Норм,
2,ФКП,Бюджетная,Мужской,"Университет - да, специальность - было без разницы",Затрудняюсь ответить,Нет,Отсрочка от армии,Практически не посещаю,Да,Сдаю только свои работы,Отсутствие интереса к предмету,Затрудняюсь ответить,Есть желание уехать,Слишком большой,Очень часто или постоянно,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,Круть,
1,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - нет",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Отсрочка от армии, Общественная жизнь университета, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, но крайне редко",Нехватка времени,Затрудняюсь ответить,Есть желание уехать,Нормальный,Иногда,Иногда,Позитивные,Доучиться,От  мечты к успеху!,42
3,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, с 1 курса",Нужен диплом,Практически не посещаю,Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно","Да, в другом месте",Есть желание уехать,Слишком большой,Очень часто или постоянно,Часто,Негативные,Получить диплом и выпуститься,Ожидал большего,Учусь на дистанционной форме. Материал зачастую ужасен. Для самостоятельного овладения невозможен. Работаю по специальности дольше чем учусь.
1,ИЭФ,Платная,Женский,Затрудняюсь ответить,"Был до поступления, но пропал",Нет,"Нужен диплом, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко",Не хватает знаний выполнить самостоятельно,Нет,"Возможно, когда-нибудь уеду",Нормальный,Часто,Иногда,Нейтральные,Доучиться,Не так хорош как кажется,
2,ФИТУ,Бюджетная,Мужской,"Да, и университет, и специальность",Затрудняюсь ответить,Нет,"Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно","Да, в другом месте",Есть желание уехать,Слишком большой,Иногда,Часто,Нейтральные,Получить диплом и выпуститься,прикольно,
1,ФИТУ,Платная,Мужской,"Да, и университет, и специальность",Нет,Нет,"Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Иногда,Часто,Нейтральные,Доучиться,ПТУ,
2,ФИТУ,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Да,Сдаю только свои работы,,Нет,Есть желание уехать,Нормальный,Иногда,Иногда,Позитивные,Доучиться,топ,
1,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Отсрочка от армии, Друзья/знакомые/мнение родителей",Практически не посещаю,Нет,Сдаю только свои работы,"Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,"Возможно, когда-нибудь уеду",Нормальный,Иногда,Иногда,Нейтральные,Получить диплом и выпуститься,"Ну чё,народ,погнали ",
2,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - нет",Да,"Да, со 2 курса","Нужен диплом, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, часто",Отсутствие интереса к предмету,Нет,Есть желание уехать,Нормальный,Часто,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,Много букв,
3,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - было без разницы",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Общежитие/возможность проживать в Минске",Практически не посещаю,Нет,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Нет,"Возможно, когда-нибудь уеду",Слишком большой,Часто,Часто,Негативные,Получить диплом и выпуститься,Хорошая возможность войти.,"Учёба полезна в первых двух курсах, когда идут общие и около специальные предметы."
2,ФИТУ,Бюджетная,Женский,"Университет - да, специальность - было без разницы",Затрудняюсь ответить,Нет,Нужен диплом,"Да, но только то, что интересно",Да,Сдаю только свои работы,,"Да, в другом месте",Есть желание уехать,Нормальный,Очень часто или постоянно,Часто,Нейтральные,Получить диплом и выпуститься,Шарага,
1,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,"Да, в БГУИР",Затрудняюсь ответить,Слишком большой,Очень часто или постоянно,Часто,Нейтральные,Получить диплом и выпуститься,дурдом,Уволить Фадееву Е.П.
3,ФКП,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, со 2 курса","Нужен диплом, Отсрочка от армии",Практически не посещаю,Да,"Да, практически всегда","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно","Да, в БГУИР","Возможно, когда-нибудь уеду",Нормальный,Часто,Часто,Негативные,Получить диплом и выпуститься,Шарага,Шарага
2,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии","Да, стараюсь посещать по возможности все",Нет,"Да, но крайне редко",Нехватка времени,Нет,Есть желание уехать,Нормальный,Часто,Иногда,Нейтральные,Получить диплом и выпуститься,Кал,
3,ФКП,Бюджетная,Женский,"Да, и университет, и специальность",Да,"Да, со 2 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей",Практически не посещаю,Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Иногда,Часто,Позитивные,Доучиться,"Даёт возможность получить знания, но не учит, даёт возможность работать, да и в принципе неплохой универ со своими косяками",
Магистрант,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса","Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,Есть желание уехать,Слишком маленький,Очень часто или постоянно,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,шарага,
2,ИЭФ,Платная,Мужской,"Университет - да, специальность - нет",Нет,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Да,"Да, часто","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Очень редко или никогда,Часто,Нейтральные,Получить диплом и выпуститься,Преподы на иэфе <3 Но немного раздражает советский ремонт ,"Сделайте уже нормальные лифты, а"
1,ФКП,Бюджетная,Мужской,"Университет - да, специальность - было без разницы",Нет,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, но только то, что интересно",Да,"Да, но редко",Отсутствие интереса к предмету,"Да, в другом месте",Есть желание уехать,Слишком маленький,Часто,Часто,Нейтральные,Получить диплом и выпуститься,+,
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, но только то, что интересно",Нет,Сдаю только свои работы,,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Иногда,Иногда,Позитивные,Доучиться,nam pizda(,
2,ФКП,Бюджетная,Мужской,"Университет - да, специальность - было без разницы",Нет,Нет,"Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Да,"Да, практически всегда","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,"Возможно, когда-нибудь уеду",Нормальный,Часто,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,слишаом много обещали в начале,
3,ФИТУ,Платная,Мужской,"Да, и университет, и специальность",Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,"Да, но редко","Нехватка времени, Не хватает знаний выполнить самостоятельно","Да, в БГУИР",Есть желание уехать,Нормальный,Очень часто или постоянно,Очень часто или постоянно,Нейтральные,Доучиться,"ненужные предметы, малый акцент на важные и интересные предметы",
1,ФКСиС,Платная,Женский,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом","Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,"Да, в БГУИР",Есть желание уехать,Нормальный,Иногда,Иногда,Позитивные,Доучиться,"Больно, но интересно, если заинтересуешься ",
2,ФИК,Бюджетная,Женский,Затрудняюсь ответить,Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Общественная жизнь университета","Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,Затрудняюсь ответить,Слишком большой,Иногда,Часто,Нейтральные,Получить диплом и выпуститься,Верните нам актовый зал!!!!!!!!!!! Студдебют и студвесну!!!!! Чтоб была хоть какая-то общественная жизнь и было что вспомнить,
2,ФКП,Платная,Мужской,"Университет - да, специальность - было без разницы",Да,"Да, со 2 курса","Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Часто,Часто,Нейтральные,Получить диплом и выпуститься,Все сказано выше,
2,ФКСиС,Платная,Мужской,"Университет - да, специальность - нет",Да,Нет,"Нужен диплом, Отсрочка от армии",Практически не посещаю,Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Часто,Иногда,Негативные,Получить диплом и выпуститься,"""В Советском Союзе уравниловки не было! Я, профессор, зарабатывал 500 рублей, а ваша мать-уборщица - 70!"" ©Новик Е.К.
""Что такое масос?"" ©Ковальчук А.М.",
1,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,"Да, в БГУИР","Возможно, когда-нибудь уеду",Нормальный,Часто,Иногда,Позитивные,Доучиться,место для реализации себя самого,"естественно, больше молодых преподавателей"
2,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Нет,Сдаю только свои работы,,"Да, в другом месте",Есть желание уехать,Слишком маленький,Часто,Часто,Нейтральные,Доучиться,Иногда интересно,
2,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность","Не было до поступления, но появился",Нет,"Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске","Да, стараюсь посещать по возможности все",Нет,"Да, но крайне редко",Не хватает знаний выполнить самостоятельно,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Иногда,Иногда,Позитивные,Доучиться,Ватрушка жанет,
