Ваш курс,Ваш факультет,Ваша форма обучения,Ваш пол,"Поступили ли вы туда, куда сами хотели?",Имеется ли у вас интерес к профессии?,Работаете ли вы по профессии?,Почему вы учитесь в БГУИРе?,Посещаете ли вы лекции?,Ощущаете ли вы нехватку возможности выбирать интересующие вас предметы для изучения? ,Сдаёте ли вы чужие работы?,"Если сдаёте чужие работы, то почему?",Желаете ли вы продолжить обучение с целью получения знаний после выпуска?,Есть ли у вас желание уехать из РБ?,"С вашей точки зрения, уровень загруженности и объём информации по учёбе","Ситуация, когда предмет интересный, а подача плохая, возникает","Ситуация, когда предмет кажется бесполезным, возникает","Эмоции, которые вы получаете от всех частей учебного процесса, скорее","Прямо сейчас у вас есть выбор: получить диплом и выпуститься, или же остаться и доучиться. В обоих случаях армия (для мужчин) и распределение по вашему желанию, место для жилья в Минске вам обеспечено. Ваш диплом и диплом человека, который останется и дослушает все курсы, не будет отличаться. Ваши действия?",И напоследок: опишите БГУИР парой слов или одним предложением,Хотите ещё что-нибудь добавить?
2,ФИТУ,Бюджетная,Женский,"Университет - да, специальность - было без разницы",Затрудняюсь ответить,Нет,Нужен диплом,Практически не посещаю,Да,"Да, часто",Нехватка времени,Нет,Есть желание уехать,Нормальный,Иногда,Часто,Нейтральные,Получить диплом и выпуститься,"Для людей, которым нечем заняться",
2,ФКП,Бюджетная,Женский,"Университет - да, специальность - нет",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Общежитие/возможность проживать в Минске","Да, стараюсь посещать по возможности все",Да,"Да, но редко",Не хватает знаний выполнить самостоятельно,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Иногда,Иногда,Нейтральные,Доучиться,Все зависит от студента,
1,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - было без разницы",Да,Нет,Нужен диплом,"Да, но только то, что интересно",Да,Сдаю только свои работы,,Затрудняюсь ответить,Есть желание уехать,Слишком большой,Очень часто или постоянно,Часто,Нейтральные,Доучиться,"""А вот ховорила мне Галя: ""Уходи после 9-го и сиди на ноготочках"". Зря не послушал.""",
1,ФИТУ,Платная,Мужской,"Да, и университет, и специальность",Затрудняюсь ответить,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету",Нет,Не собираюсь уезжать,Нормальный,Редко,Часто,Нейтральные,Доучиться,Жанет,
1,ФКСиС,Платная,Женский,"Да, и университет, и специальность",Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Общественная жизнь университета","Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко",Нехватка времени,"Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Иногда,Часто,Нейтральные,Доучиться,"Майки КСиСа всем не дают, а так все чудесно",
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, со 2 курса",Нужен диплом,"Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,Есть желание уехать,Слишком большой,Очень часто или постоянно,Часто,Крайне негативные,Получить диплом и выпуститься,Помойка,
3,ИЭФ,Бюджетная,Женский,"Да, и университет, и специальность",Да,"Да, со 2 курса","Нужен диплом, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,Есть желание уехать,Нормальный,Очень часто или постоянно,Часто,Нейтральные,Получить диплом и выпуститься,"ой, ну сложна) ",
2,ФКСиС,Платная,Женский,"Да, и университет, и специальность","Был до поступления, но пропал",Нет,"Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Нет,"Да, часто","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте",Затрудняюсь ответить,Нормальный,Иногда,Иногда,Нейтральные,Доучиться,спасибо за адекватность,
2,ФКСиС,Бюджетная,Женский,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко",Нехватка времени,Затрудняюсь ответить,Не собираюсь уезжать,Нормальный,Иногда,Иногда,Нейтральные,Доучиться,"ВУЗ ""самой передовой, гибкой и многообразной сферы IT"" с абсолютно неподвижной системой обучения","Очень общие специальности (по крайней мере ПОИТ). Обширная база профессиональных знаний это хорошо, особенно на 1-ом и 2-ом курсе, чтобы всё попробовать, получить представление об окружающем ""IT-мире"" и найти что-то своё. 
К 3-ему хочется больше времени уделять именно интересующему тебя направлению, но выбора не появляется даже МИНИМАЛЬНОГО. В итоге времени и сил на самостоятельное изучение того, что интересно, остается не так много, особенно после выполнения заданий и изучения направлений, которые тебе лично НИ КАПЛИ не интересны, но которые ты обязан выполнить."
3,ФИТУ,Бюджетная,Мужской,"Университет - да, специальность - нет",Затрудняюсь ответить,Нет,"Нужен диплом, Отсрочка от армии, Общественная жизнь университета, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,"Нехватка времени, Отсутствие интереса к предмету",Нет,Затрудняюсь ответить,Слишком маленький,Часто,Часто,Нейтральные,Доучиться,"Лучше х@ем бить орехи, чем учиться в политехе.",Соли по вкусу.
